brand;filename
Admiral;1
Alessi;2
Amica;3
Bauknecht;4
Beko;5
Bertazzoni;6
Bialetti;7
Bosch;8
Brandt;9
Braun;10
Breville Group;11
BSH Hausgeräte;12
Bticino;13
Candy;14
Constructa-Neff;15
Cuisinart;16
Danby;17
De Dietrich Remeha;18
De' Longhi;19
Dustbot;20
Ecovacs Robotics;21
Edesa;22
ELCO Vagionis;23
Electrolux;24
Elica;25
Faema;26
Frigidaire;27
Fulgor Milano;28
Gaggenau Hausgeräte;29
Gaggia;30
Giacomini;31
Gorenje;32
Gree Electric;33
Grundig;34
Haceb;35
Haden;36
Haier;37
Hamilton Beach Brands;38
Henry;39
Hisense;40
Hisense Kelon;41
Holmes Products;42
Hotpoint;43
IKEA;44
Indesit Company;45
Kenmore;46
Kent RO Systems;47
Lehel;48
LG Electronics;49
Lofra;50
Malleable Iron Range Company;51
Maytag;52
Medion;53
Midea Group;54
Miele;55
Mitsubishi Electric;56
Mondial;57
Morphy Richards;58
Moulinex;59
Mr. Coffee;60
Nomiku;61
OXO;62
Panasonic;63
Pars Khazar;64
Peerless-Premier Appliance Company;65
Pifco;66
Proctor Silex;67
Pyramis;68
Rancilio;69
Rinnai;70
Rowenta;71
Royalstar;72
Russell Hobbs;73
Saeco;74
Samsung Electronics;75
Sanyo;76
Servis;77
Sharp Corporation;78
Simpson;79
Skyworth;80
Smeg;81
Snowa;82
Speed Queen;83
Standex International;84
Sub-Zero;85
Sunbeam Products;86
The Designer Rooms;87
Tiger Corporation;88
TrueCookPlus;89
Vestel;90
West Bend Housewares;91
Whirlpool Corporation;92
Winia Electronics;93
Worcester, Bosch Group;94
Zanussi;95
Zojirushi;96
Zyliss;97
Dyson;98
AEG;99
Husqvarna Group;100
Jonsereds Fabrikers AB;101
Parkinson Cowan;102
Rosenlew;103
Tappan;104
White-Westinghouse;105
Kenwood Limited;106
Amana Corporation;107
The Hoover Company;108
JennAir;109
KUKA;110
Blaupunkt;111
Bosch Rexroth;112
CAN bus;113
Dremel;114
ETAS;115
Indramat;116
Pitsos;117
SPX Corporation;118
Zenith Electronics;119
Harman International;120
AST Research;121
Joyent;122
John Inglis and Company;123
KitchenAid;124
Yummly;125
Advantium;126
Chandley Ovens;127
Dacor;128
Dualit;129
George Foreman Grill;130
Hawkins Cookers;131
Marssenger Integrated Stove;132
Napoleon;133
National Presto Industries;134
Rational AG;135
RFIQin;136
Ronco;137
SousVide Supreme;138
Tefal;139
Thermador;140
Weber Inc.;141
WMF Group;142
Zwilling J. A. Henckels;143
Bernina International;144
Brother Industries;145
Dürkopp Adler;146
Elna;147
Janome;148
Juki;149
Merrow Sewing Machine Company;150
Pfaff;151
Singer Corporation;152
Tikka;153
Union Special;154